site,pass,pass.int,location,site.index,propPO,habitat,date2,species,SVLmean,tail,mass,tail_loss,bcres,loc.int,site.int
A,1,1,all,1,0,CO,1_2,RB,35,40.4,0.9,N,-0.060795153,1,1
A,1,1,all,1,0,CO,1_2,RB,38.3,44.4,1.1,N,-0.025118262,1,1
A,1,1,all,1,0,CO,1_2,RB,38.1,45.5,1.23,N,0.097641985,1,1
A,1,1,all,1,0,CO,1_2,RB,42,46.1,1.45,N,0.176319305,1,1
A,1,1,all,1,0,CO,1_2,RB,45.3,56.1,1.59,N,0.07512603,1,1
A,1,1,all,1,0,CO,1_2,RB,44.5,63.5,1.17,N,-0.412268065,1,1
A,1,1,all,1,0,CO,1_2,RB,33.1,37.5,0.79,Y,-0.087128481,1,1
A,1,1,all,1,0,CO,1_2,RB,41.5,38.1,1.16,Y,-0.012646157,1,1
A,1,1,all,1,0,CO,1_2,RB,35.5,43.3,1.56,Y,0.52632636,1,1
A,1,1,all,1,0,CO,1_2,RB,41,45.5,1.54,Y,0.289680082,1,1
A,1,1,all,1,0,CO,1_2,RB,41.8,50.7,1.67,Y,0.325646826,1,1
A,1,1,dominant,2,0.09,CO,1_5,RB,37.6,32,0.71,N,-0.232267362,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,39.4,36,1.2,N,0.144807862,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,40.4,40.8,1.37,N,0.219046174,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,33.6,43.5,0.75,N,-0.20253963,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,37.2,44,0.98,N,-0.102301474,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,42,46,1.45,N,0.177600475,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,43.5,50.7,1.57,N,0.185987179,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,43.5,52.1,1.52,N,0.118050807,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,42.3,52.2,1.8,N,0.437888303,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,44.8,54.9,1.91,N,0.427632841,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,50.8,57.4,1.98,N,0.260010277,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,29,21.5,0.67,Y,0.138347405,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,28.7,24.3,0.36,Y,-0.197245673,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,42.9,34.3,1.35,Y,0.178066506,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,43.3,37,1.26,Y,0.039768709,2,1
A,1,1,dominant,2,0.09,CO,1_5,RB,39.6,41,1.32,Y,0.175304483,2,1
A,1,1,even,3,0.41,CO,1_4,RB,26.8,29.2,0.64,N,0.103673373,3,1
A,1,1,even,3,0.41,CO,1_4,RB,37.9,37.1,1.02,N,0.00211333,3,1
A,1,1,even,3,0.41,LL,1_4,RB,36.2,39,0.82,N,-0.163977447,3,1
A,1,1,even,3,0.41,LL,1_4,RB,36.4,41,0.92,N,-0.096453946,3,1
A,1,1,even,3,0.41,CO,1_4,RB,38.7,41.6,1.27,N,0.167048261,3,1
A,1,1,even,3,0.41,CO,1_4,RB,39.5,43.2,1.41,N,0.259137106,3,1
A,1,1,even,3,0.41,LL,1_4,RB,38.6,44.7,1.4,N,0.260758564,3,1
A,1,1,even,3,0.41,CO,1_4,RB,40.6,44.9,1.45,N,0.239665115,3,1
A,1,1,even,3,0.41,CO,1_4,RB,44.6,54.2,1.81,N,0.343454138,3,1
A,1,1,even,3,0.41,LL,1_4,RB,29.2,19.9,0.43,Y,-0.088006994,3,1
A,1,1,even,3,0.41,CO,1_4,RB,37,26.3,1.21,Y,0.342726835,3,1
A,1,1,even,3,0.41,CO,1_4,RB,34.5,29.7,1.17,Y,0.34483096,3,1
A,1,1,even,3,0.41,CO,1_4,RB,33.1,31,1.1,Y,0.306147534,3,1
A,1,1,even,3,0.41,CO,1_4,RB,37.3,32,1.09,Y,0.139420509,3,1
A,1,1,even,3,0.41,CO,1_4,RB,40.6,33.2,1.43,Y,0.350970146,3,1
A,1,1,even,3,0.41,CO,1_4,RB,35.5,33.9,1.02,Y,0.106756288,3,1
A,1,1,even,3,0.41,CO,1_4,RB,33.7,39.3,0.7,Y,-0.220748864,3,1
A,1,1,even,3,0.41,CO,1_4,RB,39,40.3,1.15,Y,0.034832002,3,1
C,2,2,all,9,0,CO,2_1,RB,34.5,27.7,0.64,Y,-0.159545651,1,3
C,2,2,dominant,10,0.055,CO,2_5,RB,27.8,28.6,0.41,N,-0.152905165,2,3
C,2,2,dominant,10,0.055,CO,2_5,RB,45.6,48,1.52,N,0.098621089,2,3
C,2,2,even,11,0.285,CO,2_3,RB,36.9,46,1.34,N,0.242354804,3,3
C,2,2,even,11,0.285,CO,2_3,RB,39,47.9,1.35,N,0.156054919,3,3
C,2,2,even,11,0.285,CO,2_3,RB,44.2,55.3,1.36,N,-0.106932504,3,3
C,2,2,even,11,0.285,CO,2_3,RB,36.4,42.9,1.01,Y,-0.049387961,3,3
C,2,2,even,11,0.285,CO,2_3,RB,38.2,46.2,1.05,Y,-0.113344552,3,3
C,2,2,even,11,0.285,CO,2_3,RB,44.9,47.8,1.14,Y,-0.273422479,3,3
C,2,2,rare,12,0.8,CO,2_2,RB,42.3,40,0.8,Y,-0.42440082,4,3
C,2,2,rare,12,0.8,CO,2_4,RB,42.2,36.2,1.06,N,-0.09369803,4,3
C,2,2,rare,12,0.8,CO,2_4,RB,38,39.6,1.11,N,0.056657538,4,3
B,3,3,all,5,0,CO,3_4,RB,34.3,37.7,0.97,N,0.06778231,1,2
B,3,3,dominant,6,0.1,CO,3_5,RB,36,14.3,0.64,Y,-0.039267277,2,2
B,3,3,dominant,6,0.1,CO,3_5,RB,34.6,23.4,0.83,Y,0.08211808,2,2
B,3,3,even,7,0.4,CO,3_3,RB,44.9,34.2,1.15,N,-0.070591638,3,2
B,3,3,even,7,0.4,CO,3_3,RB,49.3,35.8,0.96,N,-0.43185879,3,2
B,3,3,even,7,0.4,CO,3_3,RB,34.9,38,0.75,N,-0.176620531,3,2
B,3,3,even,7,0.4,CO,3_3,RB,35.9,43,1.17,N,0.145055442,3,2
B,3,3,even,7,0.4,CO,3_3,RB,39.4,43.1,1.18,N,0.033844831,3,2
B,3,3,even,7,0.4,CO,3_3,RB,41.3,43.5,0.87,N,-0.346384401,3,2
B,3,3,even,7,0.4,CO,3_3,RB,35.9,26,0.62,Y,-0.205737547,3,2
B,3,3,even,7,0.4,CO,3_3,RB,35,32.7,0.85,Y,-0.030736901,3,2
B,3,3,even,7,0.4,CO,3_3,RB,40.6,37,1.12,Y,-0.007714293,3,2
B,3,3,even,7,0.4,CO,3_3,RB,48,42.6,1.24,Y,-0.213024887,3,2
B,3,3,even,7,0.4,CO,3_3,RB,40.6,47.9,1,Y,-0.267361763,3,2
B,3,3,rare,8,0.98,CO,3_1,RB,41.9,36.9,1.19,Y,0.019021655,4,2
C,5,4,dominant,10,0.055,LL,5_2,RB,33.4,32.8,0.45,N,-0.358601388,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,44.2,27.4,1.01,N,-0.099486228,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,46.4,29.1,1.2,N,-0.006650329,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,36.7,29.2,0.74,N,-0.135555618,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,37.9,29.2,1.05,N,0.133325717,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,45.5,31.4,1.18,N,-0.025278227,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,41,32.6,0.89,N,-0.176457264,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,42.3,33.5,0.9,N,-0.22253301,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,35.9,33.7,0.63,N,-0.275795799,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,41,36.8,0.98,N,-0.140266381,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,48,39.3,1.25,N,-0.1421545,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,41,39.5,1.01,N,-0.144857956,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,46.5,41.1,1.45,N,0.086182782,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,45.8,41.5,1.2,N,-0.144956008,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,47.9,42.8,1.8,N,0.366431125,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,42.1,44,1.47,N,0.219797308,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,49,44.2,1.41,N,-0.079197358,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,45.7,44.6,1.18,N,-0.201245705,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,47,44.7,1.1,N,-0.327072095,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,48.4,48.8,1.45,N,-0.077571819,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,47.3,52.6,1.23,N,-0.308564148,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,37.4,10.3,0.7,Y,0.024007725,2,3
C,5,4,dominant,10,0.055,LL,5_5,RB,42.7,14.4,1.01,Y,0.099872337,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,39.9,18.7,0.86,Y,-0.009274396,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,44.5,19.3,1.05,Y,0.015417036,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,42.2,19.5,0.92,Y,-0.038334527,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,41.1,20,0.97,Y,0.042951736,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,43,22.2,1.03,Y,0.009661454,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,44.5,27.7,1.18,Y,0.037798802,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,46.9,28.8,1.19,Y,-0.048531393,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,47.2,31.7,1.18,Y,-0.105964973,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,43.2,32.2,1.14,Y,-0.015308602,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,43.2,34.3,1.32,Y,0.13778684,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,42.3,34.5,1.01,Y,-0.1439365,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,37.3,36.6,0.95,Y,-0.059513285,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,42.6,36.6,1,Y,-0.191120725,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,46.3,39.7,1.04,Y,-0.31761953,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,47.3,40,1.48,Y,0.084271407,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,44.9,41.7,1.44,Y,0.104728857,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,46.2,42.2,1.12,Y,-0.266222211,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,44.5,42.9,1.2,Y,-0.136938954,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,43.4,43.3,1.38,Y,0.075628478,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,44.9,44.3,1.08,Y,-0.288581548,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,48,45.7,1.64,Y,0.14725886,2,3
C,5,4,dominant,10,0.055,CO,5_5,RB,46.6,50.2,1.46,Y,-0.042421989,2,3
C,5,4,even,11,0.285,CO,5_3,RB,27.8,25.2,0.32,N,-0.199345403,3,3
C,5,4,even,11,0.285,CO,5_3,RB,33.8,31.7,0.72,N,-0.088214746,3,3
C,5,4,even,11,0.285,CO,5_3,RB,36.7,32.4,0.69,N,-0.22655304,3,3
C,5,4,even,11,0.285,CO,5_3,RB,37.1,33.6,0.79,N,-0.155633295,3,3
C,5,4,even,11,0.285,CO,5_3,RB,44.8,37.2,1.18,N,-0.075600167,3,3
C,5,4,even,11,0.285,CO,5_3,RB,48.9,39.8,1.29,N,-0.139399346,3,3
C,5,4,even,11,0.285,CO,5_3,RB,52.7,41.5,1.3,N,-0.281388335,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.4,42.6,1.45,N,0.10465735,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.4,42.9,1.11,N,-0.102123939,3,3
C,5,4,even,11,0.285,CO,5_3,RB,44.9,43.8,1.39,N,0.046416094,3,3
C,5,4,even,11,0.285,CO,5_3,RB,39.5,43.9,0.96,N,-0.19983108,3,3
C,5,4,even,11,0.285,CO,5_3,RB,44.8,45.2,1.25,N,-0.108093722,3,3
C,5,4,even,11,0.285,CO,5_3,RB,43.7,47.6,1.29,N,-0.061149679,3,3
C,5,4,even,11,0.285,CO,5_3,RB,44.4,48,1.22,N,-0.160260245,3,3
C,5,4,even,11,0.285,CO,5_3,RB,42.2,49.2,1.34,N,0.019749942,3,3
C,5,4,even,11,0.285,CO,5_3,RB,50.2,49.6,1.12,N,-0.479499173,3,3
C,5,4,even,11,0.285,CO,5_3,RB,46.3,50.1,1.5,N,0.027730642,3,3
C,5,4,even,11,0.285,CO,5_3,RB,50.8,52,1.61,N,-0.040806573,3,3
C,5,4,even,11,0.285,CO,5_3,RB,49.3,53.2,1.42,N,-0.194782274,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.5,18.9,0.82,Y,-0.243723841,3,3
C,5,4,even,11,0.285,CO,5_3,RB,44.1,27.1,1.3,Y,0.179192041,3,3
C,5,4,even,11,0.285,CO,5_3,RB,48.1,29.9,1.43,Y,0.136257078,3,3
C,5,4,even,11,0.285,CO,5_3,RB,38,31.7,0.61,Y,-0.36072187,3,3
C,5,4,even,11,0.285,LL,5_3,RB,46.1,31.9,1.13,Y,-0.120835202,3,3
C,5,4,even,11,0.285,CO,5_3,RB,40.5,32.1,1.45,Y,0.388489565,3,3
C,5,4,even,11,0.285,CO,5_3,RB,35.2,32.5,0.67,Y,-0.215027673,3,3
C,5,4,even,11,0.285,CO,5_3,RB,39.9,32.9,0.92,Y,-0.131200458,3,3
C,5,4,even,11,0.285,CO,5_3,RB,37.4,32.9,1.13,Y,0.164463429,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.3,35,1.25,Y,0.123923207,3,3
C,5,4,even,11,0.285,CO,5_3,RB,43.9,35.4,1.32,Y,0.099708087,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.7,36.1,1.01,Y,-0.143875878,3,3
C,5,4,even,11,0.285,CO,5_3,RB,34.3,36.2,1.02,Y,0.118408057,3,3
C,5,4,even,11,0.285,CO,5_3,RB,37,36.9,1.04,Y,0.036922873,3,3
C,5,4,even,11,0.285,CO,5_3,RB,43,37.3,1.07,Y,-0.143795133,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.1,37.5,1.34,Y,0.188747082,3,3
C,5,4,even,11,0.285,CO,5_3,RB,42.8,38.3,1.32,Y,0.100246284,3,3
C,5,4,even,11,0.285,CO,5_3,RB,39.7,38.6,0.99,Y,-0.127374005,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.9,39.7,1.23,Y,-0.113913308,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.9,40.9,1.25,Y,-0.109287342,3,3
C,5,4,even,11,0.285,CO,5_3,RB,49.5,41.4,1.46,Y,-0.029049186,3,3
C,5,4,even,11,0.285,CO,5_3,RB,41.7,42.7,1.18,Y,-0.058433062,3,3
C,5,4,even,11,0.285,CO,5_3,RB,42.8,43.2,1.25,Y,-0.03253102,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.5,45.7,1.06,Y,-0.347077253,3,3
C,5,4,even,11,0.285,CO,5_3,RB,45.2,45.9,1.15,Y,-0.249359926,3,3
C,5,4,even,11,0.285,CO,5_3,RB,43.3,49.2,1.31,Y,-0.066533964,3,3
C,5,4,rare,12,0.8,CO,5_4,RB,45.8,31.6,1.37,Y,0.133287973,4,3
C,5,4,rare,12,0.8,CO,5_4,RB,41.2,39.9,1.05,Y,-0.13542754,4,3
